project_id,plot_id,parcel_id,state,project_type,total_land_required_hectares,land_acquired_percent,pending_approvals,compensation_pending_percent,legal_cases,affected_families,rr_completed_percent,possession_percent,planned_duration_months,environmental_clearance,forest_clearance,previous_delay_days,delay_days,delay_risk,project_status,year,district,project_name,project_reference,data_provenance,ministry,key_event,urban_rural,forest_district,compensation_status,rehabilitation_status,objection_count,project_completion_status
LA-REF-0001,PLOT-00001,PARCEL-00001,Maharashtra,Railway,58.0,9.4,1,94.7,0,121,8.3,7.7,70,Pending,Pending,6,259,Medium,Early Stage,2016,Palghar,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 1,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Notification Issued,Rural,Yes,Not Started,Not Started,0,Completed
LA-REF-0001,PLOT-00002,PARCEL-00002,Maharashtra,Railway,58.0,27.2,3,91.4,0,121,15.3,20.0,70,Pending,Pending,62,259,Medium,In Progress,2018,Palghar,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 1,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Compensation Initiated,Rural,Yes,Not Started,Not Started,0,Completed
LA-REF-0001,PLOT-00003,PARCEL-00003,Maharashtra,Railway,58.0,36.0,3,82.5,0,121,20.0,28.4,70,Approved,Pending,119,259,Medium,In Progress,2019,Palghar,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 1,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Routine Progress,Rural,Yes,Not Started,Not Started,0,Completed
LA-REF-0001,PLOT-00004,PARCEL-00004,Maharashtra,Railway,58.0,45.1,0,73.6,0,121,24.9,37.3,70,Approved,Approved,89,259,Medium,In Progress,2020,Palghar,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 1,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,No Major Update,Rural,Yes,Not Started,Not Started,3,Completed
LA-REF-0001,PLOT-00005,PARCEL-00005,Maharashtra,Railway,58.0,57.7,3,67.9,0,121,47.5,48.7,70,Approved,Approved,126,259,Medium,In Progress,2021,Palghar,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 1,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Routine Progress,Rural,Yes,Not Started,Partially Complete,3,Completed
LA-REF-0001,PLOT-00006,PARCEL-00006,Maharashtra,Railway,58.0,68.8,0,60.8,0,121,38.9,50.4,70,Approved,Approved,156,259,Medium,In Progress,2022,Palghar,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 1,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Routine Progress,Rural,Yes,Partially Disbursed,Partially Complete,3,Completed
LA-REF-0001,PLOT-00007,PARCEL-00007,Maharashtra,Railway,58.0,94.2,0,54.5,0,121,69.9,88.1,70,Approved,Approved,205,259,Medium,Near Completion,2023,Palghar,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 1,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Routine Progress,Rural,Yes,Partially Disbursed,Substantially Complete,3,Completed
LA-REF-0001,PLOT-00008,PARCEL-00008,Maharashtra,Railway,58.0,100.0,0,48.5,0,121,88.4,80.7,70,Approved,Approved,212,259,Medium,Completed,2024,Palghar,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 1,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Routine Progress,Rural,Yes,Partially Disbursed,Substantially Complete,3,Completed
LA-REF-0002,PLOT-00009,PARCEL-00009,Maharashtra,Railway,15.0,1.2,3,98.2,0,107,0.9,0.9,63,Approved,Not Required,0,158,Medium,Early Stage,2019,Thane,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 2,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Environmental Clearance Received,Urban,No,Not Started,Not Started,0,Completed
LA-REF-0002,PLOT-00010,PARCEL-00010,Maharashtra,Railway,15.0,43.4,0,86.1,0,107,24.4,31.5,63,Approved,Not Required,9,158,Medium,In Progress,2020,Thane,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 2,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Compensation Initiated,Urban,No,Not Started,Not Started,0,Completed
